Name	Set	ImageFile	Errata	Restricted	Cycle	Pack	Release Order	Edition	Unique	Faction	Type	SubType	Cost	Terror	Combat	Arcane	Investigation	Skill	Text
Professor Nathaniel Peaslee, Scholar of the Arcane	Core	Core024			Core	Core	,01-024	LCG	*	Miskatonic University	Character	Investigator.	4		2	1	1	3	Response: After Professor Nathaniel Peaslee enters your discard pile from play, pay 2 to put into play all characters that entered a discard pile this phase.
Anthropology Advisor	Core	Core025			Core	Core	,01-025	LCG		Miskatonic University	Character	Investigator.	3		1	1	1	3	Lower the cost for you to play Investigator characters by 1. Investigator characters you control gain I.
Visiting Author	Core	Core026			Core	Core	,01-026	LCG		Miskatonic University	Character	Investigator.	3		1		2	3	Action: Pay 1 to return Visiting Author to your hand if it entered your discard pile this phase.
Mad Genius	Core	Core027			Core	Core	,01-027	LCG		Miskatonic University	Character	Investigator.	2					2	Response: After Mad Genius is restored, choose a story card. Put 1 success token on that story card.
Strange Librarian	Core	Core028			Core	Core	,01-028	LCG		Miskatonic University	Character	Investigator.	2			1		1	Action: Exhaust Strange Librarian to look at the top 3 cards of any player’s deck. Put one of those cards on the bottom of his deck, and the other two back on top in any order.
Laboratory Assistant	Core	Core029			Core	Core	,01-029	LCG		Miskatonic University	Character	Scientist.	1				1	1	
Itinerant Scholar	Core	Core030-R		R	Core	Core	,01-030	LCG		Miskatonic University	Character	Messenger.	2			2		1	Action: Sacrifice Itinerant Scholar to move a drain token from one of your domains to an undrained domain.
Natural Philosopher	Core	Core031			Core	Core	,01-031	LCG		Miskatonic University	Character	Investigator.	3			1	1	3	Forced Response: After Natural Philosopher enters play, draw a card. Then, each player chooses and discards a card from his hand.
Student Archaeologist	Core	Core032			Core	Core	,01-032	LCG		Miskatonic University	Character	Investigator.	2				1	2	Response: After Student Archaeologist is restored, draw a card. Then, each player chooses and discards a card from his hand.
Celano Fragments, The Life's Work of Dr. Shrewsbury	Core	Core033			Core	Core	,01-033	LCG		Miskatonic University	Support	Tome.	3						Action: Exhaust and pay X to choose a committed character with cost X or lower. Remove that character from the story.
Open for Inspection	Core	Core034			Core	Core	,01-034	LCG		Miskatonic University	Support	Attachment. Environment.	2						Attach to a story card. Attached story gains: 
Atwood Science Hall	Core	Core035			Core	Core	,01-035	LCG		Miskatonic University	Support	Location.	1						Characters you control get +1 skill for each I icon they have.
Binding	Core	Core036			Core	Core	,01-036	LCG		Miskatonic University	Event	Spell.	1						Action: Choose a character. Until the end of the phase, that character loses all of its printed icons.
Feast of Famine	Core	Core037			Core	Core	,01-037	LCG		Miskatonic University	Event		3						Action: Draw 2 cards. Then, each player must choose and discard a card from his hand.
Restless and Wary	Core	Core038			Core	Core	,01-038	LCG		Miskatonic University	Event		2						Action: Ready all exhausted characters.
Dr. Carson's Treatment	Core	Core039			Core	Core	,01-039	LCG		Miskatonic University	Event		1						Action: Choose up to 2 insane characters. Restore and ready those characters. If you overpaid for Dr. Carson's Treatment, those characters gain CC until the end of the phase.
Unearthing the Ancients	Core	Core040			Core	Core	,01-040	LCG		Miskatonic University	Event	Research.	3						Play during your operations phase. Action: Draw 3 cards.
Cthulhu, The Great Old One	Core	Core041			Core	Core	,01-041	LCG	*	Cthulhu	Character	Ancient One.	6	2	2	1		8	Villainous. Invulnerability. Forced Response: After a player draws cards during his draw phase, he must sacrifice a character, if able.
Dagon, Father of the Deep	Core	Core042			Core	Core	,01-042	LCG	*	Cthulhu	Character	Ancient One.	5	2		2		5	Villainous. Invulnerability. Disrupt: Pay 1 and sacrifice a Deep One character to cancel the effects of an event card that would destroy Dagon.
Keeper of the Golden Path	Core	Core043			Core	Core	,01-043	LCG		Cthulhu	Character	Cultist.	2	2				3	Villainous.
Guardian Shoggoth	Core	Core044			Core	Core	,01-044	LCG		Cthulhu	Character	Monster.	3	1	1			2	Toughness +2.
Shadow-spawned Hunting Horror	Core	Core045			Core	Core	,01-045	LCG		Cthulhu	Character	Servitor.	4		2	1		3	While Shadow-spawned Hunting Horror is committed to a story, each committed character loses an I icon.
Ravager from the Deep	Core	Core046-R		R	Core	Core	,01-046	LCG		Cthulhu	Character	Deep One.	4		2	1		2	Villainous. Toughness +1. Forced Response: After Ravager from the Deep is committed to a story, wound all other characters at that story.
Innsmouth Troublemaker	Core	Core047			Core	Core	,01-047	LCG		Cthulhu	Character	Servitor.	1					1	Toughness +1.
Adult Deep One	Core	Core048			Core	Core	,01-048	LCG		Cthulhu	Character	Deep One.	3		2	1		1	Disrupt: Pay 2 to cancel a card effect that chooses Adult Deep One as a target.
Ocean Crawlers	Core	Core049			Core	Core	,01-049	LCG		Cthulhu	Character	Monster.	1	1				1	Ocean Crawlers gets +1 skill for each Attachment in play.
Lord of the Silver Twilight	Core	Core050			Core	Core	,01-050	LCG		Cthulhu	Character	Cultist.	2	1		1		2	Lower the cost to play Cthulhu by 1 (to a minimum of 1).
Mature Deep One	Core	Core051			Core	Core	,01-051	LCG		Cthulhu	Character	Deep One.	4		2	1		3	Action: Pay 3 to choose and destroy an Attachment card.
Young Deep One	Core	Core052			Core	Core	,01-052	LCG		Cthulhu	Character	Deep One.	2		2	1		0	
Sleep of Reason	Core	Core053			Core	Core	,01-053	LCG		Cthulhu	Support	Attachment. Environment.	2						Attach to a story card. Attached story gains: 
Sword of Y'ha-tallo	Core	Core054			Core	Core	,01-054	LCG		Cthulhu	Support	Attachment. Weapon.	0						Attach to a character. Attached character gains TC.
Shadowed Reef	Core	Core055			Core	Core	,01-055	LCG		Cthulhu	Support	Location.	1						Deep One characters gain a T icon.
Deep One Assault	Core	Core056			Core	Core	,01-056	LCG		Cthulhu	Event		X						Loyal. Action: Choose and destroy a character or support card with cost X or lower.
Pulled Under	Core	Core057-E	E		Core	Core	,01-057	LCG		Cthulhu	Event		0						Action: Exhaust a character with at least 2 T icons to choose and destroy an exhausted non-Ancient One character.
Get it Off!	Core	Core058			Core	Core	,01-058	LCG		Cthulhu	Event		1						Action: Choose and destroy an Attachment card.
Sacrificial Offerings	Core	Core059			Core	Core	,01-059	LCG		Cthulhu	Event		1						Action: Choose and wound a character controlled by an opponent. Then, that character's controller may choose and wound a character.
Touched by the Sleeper	Core	Core060			Core	Core	,01-060	LCG		Cthulhu	Event		0						Action: Choose a [Cthulhu] character. Until the end of the phase, that character gains TT.
Jack "Brass" Brady, Steeped in Violence	Core	Core061			Core	Core	,01-061	LCG	*	Syndicate	Character	Investigator.	3		2		1	3	Disrupt: Before a triggered ability resolves, return Jack "Brass" Brady to his owner's hand.
Dr. Marinus Bicknell Willett, Lost but Determined	Core	Core062			Core	Core	,01-062	LCG	*	Syndicate	Character	Sorcerer.	4		1	1	1	3	Fast. Willpower. 
Richard Upton Pickman, Genius Painter	Core	Core063			Core	Core	,01-063	LCG	*	Syndicate	Character	Cultist.	4		2		1	3	Action: Pay 2 to choose a character. Until the end of the phase, Richard Upton Pickman gains that character's keywords and triggered abilities. Then, treat that character as though its printed text box were blank until the end of the phase.
Bag Man	Core	Core064			Core	Core	,01-064	LCG		Syndicate	Character	Criminal.	3		2		1	2	Fast.
Clover Club Bouncer	Core	Core065			Core	Core	,01-065	LCG		Syndicate	Character	Criminal.	1					1	Action: Exhaust to choose a character. Until the end of the phase, that character gets -1 skill.
Clover Club Torch Singer	Core	Core066			Core	Core	,01-066	LCG		Syndicate	Character	Criminal.	2		1			2	Action: Pay 1 to choose a character. Until the end of the phase, that character gets -2 skill.
Triggerman	Core	Core067			Core	Core	,01-067	LCG		Syndicate	Character	Criminal.	2		1		1	2	Loyal. Willpower.
Syndicate Liaison	Core	Core068			Core	Core	,01-068	LCG		Syndicate	Character	Criminal.	3			2		3	Forced Response: After Syndicate Liaison enters play, choose and exhaust a ready character, if able.
Hard Case	Core	Core069			Core	Core	,01-069	LCG		Syndicate	Character	Criminal.	2		1			2	Response: After Hard Case enters play, choose and exhaust a character with printed cost X or lower. X is the number of domains you control.
Patsy	Core	Core070			Core	Core	,01-070	LCG		Syndicate	Character	Criminal.	1					1	Action: Sacrifice Patsy to discard exactly 2 success tokens from a story with 4 or fewer total success tokens.
Extortionist	Core	Core071			Core	Core	,01-071	LCG		Syndicate	Character	Criminal.	2				2	1	Response: After Extortionist enters play from your hand, if you overpaid for Extortionist, choose and exhaust a non-Ancient One character.
Freelance Photographer	Core	Core072			Core	Core	,01-072	LCG		Syndicate	Character	Investigator.	4		2		1	2	Action: Pay 1 to ready Freelance Photographer.
Dutch Courage	Core	Core073			Core	Core	,01-073	LCG		Syndicate	Support	Item.	2						Characters you control gain Toughness +1.
Cathouse	Core	Core074			Core	Core	,01-074	LCG		Syndicate	Support	Location.	2						Response: After you overpay for a triggered ability, choose and ready a character.
Alhazred Lamp	Core	Core075			Core	Core	,01-075	LCG		Syndicate	Support	Attachment. Item.	2						Attach to a character. Attached character gains TCAI.
Like a Moth	Core	Core076			Core	Core	,01-076	LCG		Syndicate	Event		2						Action: Choose a character. Until the end of the phase, lower that character's printed skill to 0.
Panic	Core	Core077			Core	Core	,01-077	LCG		Syndicate	Event		X						Loyal. Action: Exhaust all characters with skill lower than X.
Get On Yer Feet!	Core	Core078			Core	Core	,01-078	LCG		Syndicate	Event		1						Action: Choose and ready a character. If you overpaid for Get On Yer Feet!, that character gets +3 skill until the end of the phase.
Low Blow	Core	Core079			Core	Core	,01-079	LCG		Syndicate	Event		2						Action: Choose a character. If that character is ready, exhaust it. If it is exhausted, it goes insane.
Legacy of Ramses	Core	Core080			Core	Core	,01-080	LCG		Syndicate	Event	Ritual.	2						Action: Choose and ready an exhausted character. Then, you may drain a domain you control to return Legacy of Ramses to your hand instead of discarding it.
Hastur, The King in Yellow	Core	Core081			Core	Core	,01-081	LCG	*	Hastur	Character	Ancient One.	6	3		2		6	Villainous. Toughness +4. Action: Pay 3 to choose a character. That character goes insane.
Victoria Glasser, The Society Hostess	Core	Core082			Core	Core	,01-082	LCG	*	Hastur	Character	Cultist.	2	1		2		2	Villainous. Forced Response: After Victoria Glasser enters play, choose a character. That character goes insane.
Yellow Muse	Core	Core083			Core	Core	,01-083	LCG		Hastur	Character	Cultist.	4	1	2			3	Fast. While Yellow Muse is committed to a story, all other characters committed to the same story lose Fast.
Demon Lover	Core	Core084			Core	Core	,01-084	LCG		Hastur	Character	Servitor.	2	1		1		2	Action: Exhaust to choose a character. Until the end of the phase, that character gets -2 skill.
Thing from the Stars	Core	Core085			Core	Core	,01-085	LCG		Hastur	Character	Monster.	5	3				3	Lower the cost to play Thing from the Stars by 1 (to a minimum of 1) for each resource type other than [Hastur] attached to the domain drained to pay for Thing from the Stars. Action: Exhaust to choose and destroy an insane character.
Messenger from Beyond	Core	Core086			Core	Core	,01-086	LCG		Hastur	Character	Monster.	2			1		1	Action: Exhaust to choose a character. Until the end of the phase, that character loses a T icon.
Performance Artist	Core	Core087			Core	Core	,01-087	LCG		Hastur	Character	Cultist.	1					1	Disrupt: Sacrifice Performance Artist to cancel the effects of a character or support card ability.
Byakhee Servant	Core	Core088			Core	Core	,01-088	LCG		Hastur	Character	Servitor.	3	1	2			3	Fast.
Predatory Byakhee	Core	Core089			Core	Core	,01-089	LCG		Hastur	Character	Servitor.	4		2	1		3	Action: Sacrifice Predatory Byakhee to discard the top 3 cards from an opponent's deck.
Bearer of the Yellow Sign	Core	Core090			Core	Core	,01-090	LCG		Hastur	Character	Cultist.	3	1		1		3	Response: After Bearer of the Yellow Sign enters play from your hand, if you overpaid for Bearer of the Yellow Sign, choose a character. That character goes insane.
Ghost	Core	Core091			Core	Core	,01-091	LCG		Hastur	Character	Monster.	1					1	While Ghost is committed to a story, it gains Invulnerability.
Mad Artist	Core	Core092			Core	Core	,01-092	LCG		Hastur	Character	Cultist.	2		1	1		2	
Victoria's Loft	Core	Core093			Core	Core	,01-093	LCG		Hastur	Support	Location.	3						During the refresh phase, insane characters cannot be restored.
Sedated	Core	Core094			Core	Core	,01-094	LCG		Hastur	Support	Attachment.	1						Attach to an insane character. Attached character cannot be restored.
Byakhee Attack	Core	Core095			Core	Core	,01-095	LCG		Hastur	Event		2						Play during your operations phase. Action: Each opponent chooses and discards 2 cards from his hand, if able.
Agoraphobia	Core	Core096			Core	Core	,01-096	LCG		Hastur	Event	Madness.	2						Action: Choose a character without any T icons. Return that character to its owner’s hand.
Scotophobia	Core	Core097			Core	Core	,01-097	LCG		Hastur	Event	Madness.	2						Action: Until the end of the phase, each character controlled by an opponent loses all of its printed T icons.
Despair	Core	Core098			Core	Core	,01-098	LCG		Hastur	Event		1						Response: After you win an icon struggle by at least 2 icons, choose a character without any Attachment cards on it. Return that character to its owner's hand.
Blind Submission	Core	Core099			Core	Core	,01-099	LCG		Hastur	Event	Madness.	2						Action: Choose a character with skill 2 or lower. Until the end of the phase, take control of that character.
Power Drain	Core	Core100			Core	Core	,01-100	LCG		Hastur	Event	Spell.	2						Disrupt: Cancel an Action or Response just played or used.
Yog-Sothoth, In Whom the Spheres Meet	Core	Core101			Core	Core	,01-101	LCG	*	Yog-Sothoth	Character	Ancient One.	8	2	2	1		8	Villainous. Invulnerability. Lower the cost to play Yog-Sothoth by 1 for each Spell card in your discard pile (to a minimum of 1).
Servant from Out of Time	Core	Core102			Core	Core	,01-102	LCG		Yog-Sothoth	Character	Cultist.	0	2				1	Forced Response: After Servant from Out of Time enters play, sacrifice a resource from one of your domains, if able.
Son of Yeb	Core	Core103			Core	Core	,01-103	LCG		Yog-Sothoth	Character	Cultist.	2		1			2	Son of Yeb gains C for each Cultist character you control.
Living Mummy	Core	Core104			Core	Core	,01-104	LCG		Yog-Sothoth	Character	Monster.	4		2	1		4	Forced Response: After Living Mummy enters your discard pile from play, wound all characters.
Fishers from Outside	Core	Core105			Core	Core	,01-105	LCG		Yog-Sothoth	Character	Servitor.	3	1	1			2	Forced Response: After Fishers from Outside enters play, choose an exhausted character. Return that character to its owner's hand.
Cannibal Ghast	Core	Core106			Core	Core	,01-106	LCG		Yog-Sothoth	Character	Monster.	1	2				4	Cannibal Ghast cannot commit to stories on your turn.
Spell-bound Shoggoth	Core	Core107			Core	Core	,01-107	LCG		Yog-Sothoth	Character	Servitor.	3	2	1			3	All other characters get -1 skill.
Arcane Initiate	Core	Core108			Core	Core	,01-108	LCG		Yog-Sothoth	Character	Cultist.	1			1		1	Villainous. Willpower.
Guardian Elder Thing	Core	Core109			Core	Core	,01-109	LCG		Yog-Sothoth	Character	Independent.	5			3		3	Toughness +2. While Guardian Elder Thing is committed to a story, it gains: "Action: Pay 2 to wound all characters committed to this story."
Hound of Tindalos	Core	Core110-E	E		Core	Core	,01-110	LCG		Yog-Sothoth	Character	Independent.	4		2	2		2	Fast. Action: Attach Hound of Tindalos to a character. While Hound of Tindalos is attached, attached character gets -4 skill. Action: pay 1 to unattach Hound of Tindalos.
Disciple of the Gate	Core	Core111			Core	Core	,01-111	LCG		Yog-Sothoth	Character	Cultist.	2		2			X	Villainous. X is at all times equal to the number of [Yog-Sothoth] characters in play.
Servant of Nodens	Core	Core112			Core	Core	,01-112	LCG		Yog-Sothoth	Character	Servitor.	2	1	2			2	
Forbidden Shrine	Core	Core113			Core	Core	,01-113	LCG		Yog-Sothoth	Support	Location.	1						Your characters get +1 skill while committed to a story.
Blackmoor Estate	Core	Core114			Core	Core	,01-114	LCG		Yog-Sothoth	Support	Location.	3						Action: Exhaust and pay X to discard the top X cards of a player’s deck.
Journey to the Other Side	Core	Core115			Core	Core	,01-115	LCG		Yog-Sothoth	Event	Spell.	1						Action: Look at the top 5 cards of your deck, then put them back in any order. If you overpaid for Journey to the Other Side, you may put one of those cards into your hand.
Opening the Limbo Gate	Core	Core116			Core	Core	,01-116	LCG		Yog-Sothoth	Event	Spell.	4						Play during your operations phase. Action: Choose and put into play one character from each player's discard pile.
A Single Glimpse	Core	Core117			Core	Core	,01-117	LCG		Yog-Sothoth	Event	Spell.	2						Play during your operations phase. Action: Choose an opponent. That opponent must sacrifice a character, if able.
Gathering at the Stones	Core	Core118			Core	Core	,01-118	LCG		Yog-Sothoth	Event		2						Play during your operations phase. Action: Choose a card in your discard pile and put it into your hand.
Unspeakable Resurrection	Core	Core119			Core	Core	,01-119	LCG		Yog-Sothoth	Event	Spell.	X						Action: Choose a character in your discard pile with cost X or lower. Put that character into play.
Dampen Light	Core	Core120			Core	Core	,01-120	LCG		Yog-Sothoth	Event	Spell.	1						Action: Until the end of the phase, raise the cost to play cards by 1.
Shub-Niggurath, The All Mother	Core	Core121			Core	Core	,01-121	LCG	*	Shub-Niggurath	Character	Ancient One.	7	3	1	1		7	Villainous. Invulnerability. Action: Pay 3 to search your deck for a Dark Young character and put that character into play. Then shuffle your deck.
Y'Golonac, The Obscenity	Core	Core122			Core	Core	,01-122	LCG	*	Shub-Niggurath	Character	Ancient One.	4	2	1	1		4	Villainous. Invulnerability. Action: Pay 1 to choose and ready a character. That character must commit to the same story as Y'Golonac, if able.
Priestess of Bubastis	Core	Core123			Core	Core	,01-123	LCG		Shub-Niggurath	Character	Cultist.	1					1	Action: Exhaust to lower the cost of the next [Shub-Niggurath] character you play this phase by 1 (to a minimum of 1).
Slavering Gug	Core	Core124-E	E		Core	Core	,01-124	LCG		Shub-Niggurath	Character	Monster.	5		3			4	Action: Pay 4 to choose and wound a character.
Forest Sister	Core	Core125			Core	Core	,01-125	LCG		Shub-Niggurath	Character	Cultist.	2	1				2	Disrupt: Pay 1 to cancel a wound to Forest Sister.
Ancient Guardian	Core	Core126			Core	Core	,01-126	LCG		Shub-Niggurath	Character	Servitor. Dark Young.	4	2	2			3	Action: Pay 1 to choose and ready an exhausted character or support card you control.
Small Ghouls	Core	Core127			Core	Core	,01-127	LCG		Shub-Niggurath	Character	Monster.	5	2	2			6	Forced Response: After Small Ghouls enters play, put 3 cards from your discard pile on the bottom of your deck in any order, if able.
Watcher of the Woods	Core	Core128			Core	Core	,01-128	LCG		Shub-Niggurath	Character	Dark Young.	3	1	1	1		3	Watcher of the Woods enters play exhausted if you control no support cards.
Mi-Go Scout	Core	Core129			Core	Core	,01-129	LCG		Shub-Niggurath	Character	Mi-Go.	3		2			3	All Mi-Go characters gain an I icon.
Mi-Go Warrior	Core	Core130			Core	Core	,01-130	LCG		Shub-Niggurath	Character	Mi-Go.	3		1			3	Disrupt: Exhaust to cancel 1 wound to a character.
Hungry Dark Young	Core	Core131			Core	Core	,01-131	LCG		Shub-Niggurath	Character	Servitor. Dark Young.	3	1	1			2	Response: After Hungry Dark Young enters play, put into play from your hand or discard pile a character with printed cost 2 or lower.
Degenerate Ghoul	Core	Core132			Core	Core	,01-132	LCG		Shub-Niggurath	Character	Independent.	1	1	1			0	
Shadowed Woods	Core	Core133			Core	Core	,01-133	LCG		Shub-Niggurath	Support	Location.	1						Response: After you play a [Shub-Niggurath] character from your hand, pay X to choose and return a character with cost X or lower from your discard pile to your hand.
Ghoul Taint	Core	Core134			Core	Core	,01-134	LCG		Shub-Niggurath	Support	Attachment. Curse.	1						Attach to a character. Attached character cannot commit to a story on its controller's turn.
Altar of the Blessed	Core	Core135			Core	Core	,01-135	LCG		Shub-Niggurath	Support	Location.	1						Characters you control get +1 skill.
Regeneration	Core	Core136			Core	Core	,01-136	LCG		Shub-Niggurath	Event		1						Disrupt: Cancel 1 wound to a character you control.
Burrowing Beneath	Core	Core137			Core	Core	,01-137	LCG		Shub-Niggurath	Event		2						Action: Choose and destroy a support card.
Horrid Mutation	Core	Core138			Core	Core	,01-138	LCG		Shub-Niggurath	Event		1						Action: Until the end of the phase, each committed character you control gains a T icon.
Bred to Survive	Core	Core139			Core	Core	,01-139	LCG		Shub-Niggurath	Event		2						Action: Until the end of the phase, your characters gain Invulnerability.
Shocking Transformation	Core	Core140-R		R	Core	Core	,01-140	LCG		Shub-Niggurath	Event		3						Action: Sacrifice one of your characters to search your deck for a non-Ancient One character and put it into play. Then, shuffle your deck.
Mystic Bounty Hunter	Core	Core141			Core	Core	,01-141	LCG		Neutral	Character	Sorcerer.	3		2		1	3	Action: Sacrifice Mystic Bounty Hunter to return to their owners' hands all Attachment cards in all discard piles.
Freelance Agent	Core	Core142			Core	Core	,01-142	LCG		Neutral	Character	Investigator.	3		2			3	Fast. While Freelance Agent is committed to a story, it gains CC for each character with lower skill committed by your opponents.
.45 Pistols	Core	Core143			Core	Core	,01-143	LCG		Neutral	Support	Attachment. Item. Weapon.	0						Attach to a character. Attached character gains a C icon.
Political Demonstration	Core	Core144			Core	Core	,01-144	LCG		Neutral	Event		0						Response: After you win an icon struggle by at least 2 icons, choose and destroy a support card.
Overzealous Initiate	Core	Core145			Core	Core	,01-145	LCG		Neutral	Character	Cultist.	2			2		2	Action: Sacrifice Overzealous Initiate to put the top card of your deck into play, face down, as a domain.
Arkham Asylum	Core	Core146			Core	Core	,01-146	LCG		Neutral	Support	Location.	2						Action: Pay 1 to choose an insane character. Restore and ready that character.
Moving the Scenery	Core	Core147			Core	Core	,01-147	LCG		Neutral	Event		2						Response: After you win an icon struggle by at least 2 icons, move a success token from one side of a story to another.
Military Advisor	Core	Core148			Core	Core	,01-148	LCG		Neutral	Character	Government.	4		1		1	5	Toughness +2. Response: After Military Advisor is wounded, pay 2 to choose and wound a character with skill lower than Military Advisor.
Serpent from Yoth	Core	Core149-E	E		Core	Core	,01-149	LCG		Neutral	Character	Monster.	4	1	1			2	Forced Response: After Serpent from Yoth enters your discard pile, each opponent must choose and sacrifice a character.
Tcho-Tcho Talisman	Core	Core150			Core	Core	,01-150	LCG		Neutral	Support	Attachment. Item.	1						Attach to a character you control. Attached character gains TT. Response: After Tcho-Tcho Talisman is placed into any discard pile from play, pay 1 to return it to its owner's hand.
Inside Information	Core	Core151			Core	Core	,01-151	LCG		Neutral	Event		2						Action: Choose a story. Until the end of the phase, that story loses a struggle icon of your choice.
Dabbler in the Unknown	Core	Core152			Core	Core	,01-152	LCG		Neutral	Character	Cultist.	1					1	Action: Sacrifice Dabbler in the Unknown to put a success token on a story card with no success tokens.
Gentleman's Club	Core	Core153			Core	Core	,01-153	LCG		Neutral	Support	Location.	2						Action: Exhaust and pay 2 to draw a card.
Eldritch Nexus	Core	Core154			Core	Core	,01-154	LCG		Neutral	Event		1						Action: Gain a Domain, then attach the top card of your deck to it as a resource.
The Bootleg Whiskey Cover-Up	Core	Core155.png			Core	Core	,01-155	LCG		Neutral	Conspiracy		1	1	1	1	1		Treat all characters committed to this story as if their text boxes were blank.
Shadow Team	FL	FL001			Forgotten Lore	Spawn of Madness	,08-1-001	LCG		Agency	Character	Government.	3		CC			2	Each character controlled by an opponent loses C.
Torch the Joint!	FL	FL002			Forgotten Lore	Spawn of Madness	,08-1-002	LCG		Agency	Event		2						Play during your operations phase. Action: Choose and destroy a non-[Agency] resource or a Location support card.
Omega Alumnus	FL	FL003-E			Forgotten Lore	Spawn of Madness	,08-1-003	LCG		Miskatonic University	Character	Sorcerer.	3		2	1		3	Action: Pay 1 to choose a character. Change one of that character's I icons into an icon of your choice until the end of the phase.
Unspeakable Research	FL	FL004			Forgotten Lore	Spawn of Madness	,08-1-004	LCG		Miskatonic University	Event	Research.	4						Play during your operations phase. Action: Search your deck for a card and put it into your hand. Then, shuffle your deck.
Danny O'Bannion's Crony	FL	FL005			Forgotten Lore	Spawn of Madness	,08-1-005	LCG		Syndicate	Character	Criminal.	2		1			1	Action: Exhaust Danny O'Bannion's Crony to choose and ready a Criminal character other than Danny O'Bannion's Crony. Until the end of the phase, that character gains CI.
Gun Runner's Club	FL	FL006			Forgotten Lore	Spawn of Madness	,08-1-006	LCG		Syndicate	Support	Location.	2						Action: Exhaust Gun Runner's Club to draw a card. Use this ability only if an opponent has more cards in hand than you.
